"subject","activity","operation","measurement","value"
"1",1,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.22159824394
"2",1,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.261237565425532
"3",1,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.278917629056604
"4",1,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.277330758736842
"5",1,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.289188320408163
"6",1,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.255461689622641
"7",2,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.281373403958333
"8",2,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.27708735173913
"9",2,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.277911472222222
"10",2,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.276426586440678
"11",2,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.27761534806383
"12",2,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.247164790395833
"13",3,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.275516852741935
"14",3,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.257197599134615
"15",3,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.280046513278689
"16",3,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.275567462068966
"17",3,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.292423484693878
"18",3,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.260819873067797
"19",4,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.263559214981481
"20",4,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.27153827992
"21",4,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.280499745892857
"22",4,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.278582015166667
"23",4,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.279965329555556
"24",4,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.270876696730769
"25",5,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.278334325576923
"26",5,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.273694139545455
"27",5,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.282544390892857
"28",5,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.27784234625
"29",5,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.29354392712766
"30",5,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.268459469914894
"31",6,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.248656520140351
"32",6,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.276778487454545
"33",6,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.280346248596491
"34",6,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.283658868070175
"35",6,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.277045258145833
"36",6,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.268229355098039
"37",7,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.250176694038462
"38",7,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.284674637291667
"39",7,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.282723539433962
"40",7,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.275592961754386
"41",7,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.28030708
"42",7,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.248706923078431
"43",8,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.261254282907407
"44",8,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.267491472934783
"45",8,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.279620986111111
"46",8,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.27468631
"47",8,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.283484089210526
"48",8,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.258880152048781
"49",9,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.2591955368
"50",9,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.24832674354
"51",9,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.282310057333333
"52",9,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.278502842115385
"53",9,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.295923445
"54",9,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.262436475714286
"55",10,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.280230574137931
"56",10,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.270612056481481
"57",10,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.276650300681818
"58",10,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.278574076603774
"59",10,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.290401594315789
"60",10,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.267121853404255
"61",11,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.280592970877193
"62",11,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.276590197358491
"63",11,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.277715562765957
"64",11,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.271821892881356
"65",11,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.291605631956522
"66",11,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.263775859277778
"67",12,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.260113433
"68",12,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.275007224901961
"69",12,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.277405834918033
"70",12,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.2771286656
"71",12,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.281521097391304
"72",12,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.272970338653846
"73",13,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.276716360483871
"74",13,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.274328499591837
"75",13,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.277758431052632
"76",13,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.275883130350877
"77",13,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.294907553404255
"78",13,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.258203939581818
"79",14,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.233275439803922
"80",14,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.279990577037037
"81",14,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.280545613833333
"82",14,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.271959598644068
"83",14,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.293422115555556
"84",14,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.26242106612963
"85",15,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.2894756525
"86",15,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.27290337979661
"87",15,"STANDING","Mean","timeDependentBodyAccelerometerXaxis",0.278915803962264
"88",15,"WALKING","Mean","timeDependentBodyAccelerometerXaxis",0.273899207962963
"89",15,"WALKING_DOWNSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.280198851190476
"90",15,"WALKING_UPSTAIRS","Mean","timeDependentBodyAccelerometerXaxis",0.270187595833333
"91",16,"LAYING","Mean","timeDependentBodyAccelerometerXaxis",0.274227162571429
"92",16,"SITTING","Mean","timeDependentBodyAccelerometerXaxis",0.280768574492754
